area,level,year,household,parking,fuel,SNU,sratio,med,popden,edu,lnsubnet,lngreen,lnwater,spring,fall,winter,score,sentiment,lnprice,longitude,latitude
101.4,7,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,1,0,0,5,2.333877551,10.1266311,127.470424,36.28276
84.985,6,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,1,0,0,5,2.333877551,10.08580911,127.470424,36.28276
84.98,5,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,9.828225068,127.470424,36.28276
84.974,18,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.05190756,127.470424,36.28276
84.985,7,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.0301202,127.470424,36.28276
84.985,8,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.0604913,127.470424,36.28276
84.974,1,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,9.975808214,127.470424,36.28276
84.974,20,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.02127059,127.470424,36.28276
84.985,17,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.05190756,127.470424,36.28276
122.995,2,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.30895266,127.470424,36.28276
84.974,12,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.06900199,127.470424,36.28276
101.4,12,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,0,5,2.333877551,10.15424627,127.470424,36.28276
84.985,4,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.0301202,127.470424,36.28276
84.985,15,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.07323033,127.470424,36.28276
122.995,19,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.20359214,127.470424,36.28276
122.995,4,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.34817337,127.470424,36.28276
101.4,17,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.18490001,127.470424,36.28276
101.4,22,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.18490001,127.470424,36.28276
84.985,13,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.07744086,127.470424,36.28276
84.985,17,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.0647557,127.470424,36.28276
84.985,2,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.03232042,127.470424,36.28276
84.985,18,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.1266311,127.470424,36.28276
84.974,15,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.0301202,127.470424,36.28276
